t                  Vd                  VR                  VC                  VL
0.000000000000000   0.000000000000000   0.000000000000000   0.000000000000000   0.000000000000000   
0.000000249999999   0.081627674400806   0.000000000000000   0.000000000000000   3.981837749481201   
0.000000499999999   0.162933200597763   0.001073105260730   0.000000000000000   7.895614147186279   
0.000000750000027   0.243595704436302   0.003200973384082   0.000622162129730   11.696222305297852  
0.000000999999997   0.323296844959259   0.006353104952723   0.002478013979271   15.339791297912598  
0.000001249999968   0.401722073554993   0.010487179271877   0.006161400582641   18.784072875976562  
0.000001499999939   0.478561878204346   0.015549485571682   0.012241628952324   21.988817214965820  
0.000001749999910   0.553513050079346   0.021475471556187   0.021256869658828   24.916130065917969  
0.000001999999995   0.626279771327972   0.028190368786454   0.033707860857248   27.530805587768555  
0.000002250000080   0.696574807167053   0.035609919577837   0.050052002072334   29.800628662109375  
0.000002500000164   0.764120817184448   0.043641190975904   0.070697829127312   31.696670532226562  
0.000002750000249   0.828651189804077   0.052183441817760   0.095999993383884   33.193546295166016  
0.000003000000333   0.889911293983459   0.061129100620747   0.126254767179489   34.269626617431641  
0.000003250000418   0.947659254074097   0.070364765822887   0.161696031689644   34.907241821289062  
0.000003500000503   1.001667261123657   0.079772271215916   0.202491939067841   35.092830657958984  
0.000003750000587   1.051722168922424   0.089229792356491   0.248742103576660   34.817085266113281  
0.000004000000445   1.097626328468323   0.098612993955612   0.300475507974625   34.075016021728516  
0.000004250000529   1.139198780059814   0.107796214520931   0.357649087905884   32.866024017333984  
0.000004500000614   1.176275253295898   0.116653613746166   0.420146912336349   31.193885803222656  
0.000004750000699   1.208709478378296   0.125060364603996   0.487780004739761   29.066785812377930  
0.000005000000783   1.236373543739319   0.132893860340118   0.560287177562714   26.497194290161133  
0.000005250000868   1.259158134460449   0.140034854412079   0.637336015701294   23.501817703247070  
0.000005500000952   1.276973485946655   0.146368592977524   0.718524992465973   20.101457595825195  
0.000005750001037   1.289749145507812   0.151785925030708   0.803386211395264   16.320829391479492  
0.000006000001122   1.297434687614441   0.156184390187263   0.891388297080994   12.188389778137207  
0.000006250001206   1.299999952316284   0.159469157457352   0.981940448284149   7.736114025115967   
0.000006500001291   1.297434687614441   0.161554038524628   1.074396967887878   2.999203920364380   
0.000006750001376   1.289749026298523   0.162362322211266   1.168062448501587   -1.984182596206665  
0.000007000001460   1.276973247528076   0.161827594041824   1.262196421623230   -7.173208236694336  
0.000007250001545   1.259157896041870   0.159894406795502   1.356020450592041   -12.524729728698730 
0.000007500001630   1.236373305320740   0.156518995761871   1.448723673820496   -17.993627548217773 
0.000007750001714   1.208709239959717   0.151669710874557   1.539469838142395   -23.533185958862305 
0.000008000001799   1.176274895668030   0.145327523350716   1.627404451370239   -29.095466613769531 
0.000008250001883   1.139198303222656   0.137486293911934   1.711662054061890   -34.631706237792969 
0.000008500001968   1.097625970840454   0.128153055906296   1.791373372077942   -40.092704772949219 
0.000008750002053   1.051721692085266   0.117348074913025   1.865673661231995   -45.429267883300781 
0.000009000002137   1.001666784286499   0.105104885995388   1.933709383010864   -50.592559814453125 
0.000009250002222   0.947658658027649   0.091470189392567   1.994646787643433   -55.534553527832031 
0.000009500002307   0.889910638332367   0.076503627002239   2.047679185867310   -60.208393096923828 
0.000009750002391   0.828650534152985   0.060277462005615   2.092034101486206   -64.568832397460938 
0.000010000002476   0.764120161533356   0.042876161634922   2.126981735229492   -68.572570800781250 
0.000010250002560   0.696574091911316   0.024395853281021   2.151840209960938   -72.178627014160156 
0.000010500002645   0.626278996467590   0.004943713545799   2.165984392166138   -75.348731994628906 
0.000010750002730   0.553512275218964   -0.015362770296633  2.168850660324097   -78.047584533691406 
0.000011000002814   0.478561043739319   -0.036396592855453  2.159943580627441   -80.243209838867188 
0.000011250002899   0.401721179485321   -0.058022137731314  2.138841629028320   -81.907226562500000 
0.000011500002984   0.323295891284943   -0.080096133053303  2.105201721191406   -83.015106201171875 
0.000011750003068   0.243594720959663   -0.102468706667423  2.058763742446899   -83.546348571777344 
0.000012000003153   0.162932172417641   -0.124984450638294  1.999354839324951   -83.484786987304688 
0.000012250003238   0.081626616418362   -0.147483602166176  1.926891684532166   -82.818603515625000 
0.000012500003322   -0.000001085448616  -0.169803217053413  1.841383934020996   -81.540573120117188 
0.000012750003407   -0.081628784537315  -0.191778391599655  1.742935895919800   -79.648109436035156 
0.000013000003491   -0.162934333086014  -0.213243559002876  1.631747126579285   -77.143302917480469 
0.000013250003576   -0.243596851825714  -0.234033688902855  1.508113384246826   -74.032997131347656 
0.000013500003661   -0.323298007249832  -0.253985583782196  1.372425913810730   -70.328697204589844 
0.000013750003745   -0.401723235845566  -0.272939145565033  1.225170731544495   -66.046569824218750 
0.000014000003830   -0.478563070297241  -0.290738731622696  1.066926836967468   -61.207374572753906 
0.000014250003915   -0.553514242172241  -0.307234108448029  0.898363113403320   -55.836257934570312 
0.000014500003999   -0.626280903816223  -0.322281986474991  0.720235764980316   -49.962665557861328 
0.000014750004084   -0.696575939655304  -0.335746914148331  0.533383965492249   -43.620147705078125 
0.000015000004169   -0.764121890068054  -0.347502529621124  0.338725507259369   -36.846088409423828 
0.000015250004253   -0.828652203083038  -0.357432574033737  0.137251406908035   -29.681512832641602 
0.000015500003428   -0.889912009239197  -0.365431725978851  -0.069979906082153  -22.170749664306641 
0.000015750003513   -0.947659969329834  -0.371406733989716  -0.281848937273026  -14.361186027526855 
0.000016000003598   -1.001667976379395  -0.375277101993561  -0.497182160615921  -6.302865505218506  
